Unnamed: 0,headline,url,publisher,date,stock,Sentiment_DecisionTreeClassifier,Sentiment_finbert,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier,Sentiment_VADER
706818,johnson johnson consumer health will wind down commercialization of talcbased johnsons baby powder in the us and canada in coming months,https://www.benzinga.com/news/20/05/16069527/johnson-johnson-consumer-health-will-wind-down-commercialization-of-talc-based-johnsons-baby-powder,Benzinga Newsdesk,2020-05-19 00:00:00,JNJ,1,1,1,1,0,1,1,1,1,0.5
706819,in the midst of pandemic traders pin their hopes on these healthcare etfs,https://www.benzinga.com/general/biotech/20/05/16064998/in-the-midst-of-pandemic-traders-pin-their-hopes-on-these-healthcare-etfs,Direxion,2020-05-19 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.71075
706820,moncef slaoui to divest moderna stake as he joins white house vaccine accelerator,https://www.benzinga.com/general/biotech/20/05/16061412/moncef-slaoui-to-divest-moderna-stake-as-he-joins-white-house-vaccine-accelerator,Neer Varshney,2020-05-19 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.5
706821,these coronavirus vaccine candidates are the likeliest to succeed says morgan stanley,https://www.benzinga.com/analyst-ratings/analyst-color/20/05/16056298/these-6-coronavirus-vaccine-candidates-are-the-likeliest-to-succeed-says-morgan-sta,Shanthi Rexaline,2020-05-18 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.74695
706822,janssen gives an update on its phase study on teclistamab in patients with multiple myeloma,https://www.benzinga.com/news/20/05/16053578/janssen-gives-an-update-on-its-phase-1-study-on-teclistamab-in-patients-with-multiple-myeloma,Luke J Jacobi,2020-05-18 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.5
706823,barrons picks and pans cisco gilead netflix wayfair and more,https://www.benzinga.com/top-stories/20/05/16051966/barrons-picks-and-pans-cisco-gilead-netflix-wayfair-and-more,Nelson Hem,2020-05-17 00:00:00,JNJ,1,2,1,1,0,1,1,1,1,0.5
706824,avicanna combines sustainable cultivation methods rd and pharmaceutical standards to offer apis with the aureus brand,https://www.benzinga.com/markets/cannabis/20/05/16045222/avicanna-combines-sustainable-cultivation-methods-r-d-and-pharmaceutical-standards-to-offer-apis,Renato Capelj,2020-05-15 00:00:00,JNJ,1,0,1,1,1,1,1,1,1,0.5
706825,novavax analysts say cepi funding speaks volumes about coronavirus vaccine development,https://www.benzinga.com/analyst-ratings/analyst-color/20/05/16013328/novavax-analysts-say-cepi-funding-speaks-volumes-about-coronavirus-vaccine-developm,Shanthi Rexaline,2020-05-12 00:00:00,JNJ,1,2,0,1,1,0,1,0,0,0.5
706826,cruise line earnings later this week could provide insight on brutal quarter for industry,https://www.benzinga.com/news/earnings/20/05/16001483/cruise-line-earnings-later-this-week-could-provide-insight-on-brutal-quarter-for-industry,JJ Kinahan,2020-05-11 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.18755
706827,provention bios ceo on identifying autoimmune diseases before its too late,https://www.benzinga.com/general/biotech/20/05/15955024/provention-bios-ceo-on-identifying-autoimmune-diseases-before-its-too-late,Elizabeth Balboa,2020-05-05 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.5
706828,what you should know about alexions b proposed buyout of portola pharma,https://www.benzinga.com/general/biotech/20/05/15954505/what-you-should-know-about-alexions-1-4b-proposed-buyout-of-portola-pharma,Shanthi Rexaline,2020-05-05 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.5
706829,the daily biotech pulse biorads coronavirus test gets eua beatandraise quarter from genmark adverums positive gene therapy readout,https://www.benzinga.com/general/biotech/20/05/15952712/the-daily-biotech-pulse-bio-rads-coronavirus-test-gets-eua-beat-and-raise-quarter-from-genmark-ad,Shanthi Rexaline,2020-05-05 00:00:00,JNJ,1,0,1,1,1,1,1,1,1,0.7787
706830,attention biotech investors mark your calendar for these may pdufa dates,https://www.benzinga.com/general/biotech/20/05/15891850/attention-biotech-investors-mark-your-calendar-for-these-may-pdufa-dates,Shanthi Rexaline,2020-05-03 00:00:00,JNJ,1,2,0,1,0,0,1,1,1,0.5
706831,moderna lonza strike deal to manufacture up to billion doses of coronavirus vaccine candidate annually,https://www.benzinga.com/general/biotech/20/05/15932769/moderna-lonza-strike-deal-to-manufacture-coronavirus-vaccine-candidate,Shanthi Rexaline,2020-05-01 00:00:00,JNJ,1,0,1,1,1,0,1,0,1,0.436
706832,the daily biotech pulse gilead slips despite forecastbeating q moderna partners with lonza for coronavirus vaccine production lyra therapeutics ipo,https://www.benzinga.com/general/biotech/20/05/15931110/the-daily-biotech-pulse-gilead-slips-despite-forecast-beating-q1-moderna-partners-with-lonza-for-,Shanthi Rexaline,2020-05-01 00:00:00,JNJ,1,1,1,1,0,0,1,1,1,0.5
706833,halozyme highlights janssens receipt of chmp positive opinion for darzalex subcutaneous formulation utilizing halozymes enhanze technology for patients with multiple myeloma,https://www.benzinga.com/general/biotech/20/04/15927946/halozyme-highlights-janssens-receipt-of-chmp-positive-opinion-for-darzalex-subcutaneous-formulati,Benzinga Newsdesk,2020-04-30 00:00:00,JNJ,1,0,1,1,1,1,1,1,1,0.7787
706834,johnson johnson announces committee for medicinal products for human use of ema has issued a positive opinion recommending approval for darzalex,https://www.benzinga.com/general/biotech/20/04/15926089/johnson-johnson-announces-committee-for-medicinal-products-for-human-use-of-ema-has-issued-a-posi,Benzinga Newsdesk,2020-04-30 00:00:00,JNJ,1,0,1,1,1,1,1,1,1,0.88585
706835,barclays maintains overweight on johnson johnson raises price target to ,https://www.benzinga.com/news/20/04/15909101/barclays-maintains-overweight-on-johnson-johnson-raises-price-target-to-182,vishwanath@benzinga.com,2020-04-29 00:00:00,JNJ,1,0,1,1,0,1,1,1,1,0.3194
706836,morgan stanley maintains overweight on johnson johnson raises price target to ,https://www.benzinga.com/news/20/04/15906992/morgan-stanley-maintains-overweight-on-johnson-johnson-raises-price-target-to-170,vishwanath@benzinga.com,2020-04-29 00:00:00,JNJ,1,1,1,1,0,1,1,1,1,0.3194
706837,catalent signs agreement with johnson johnson to be us manufacturing partner for lead coronavirus vaccine candidate,https://www.benzinga.com/general/biotech/20/04/15905925/catalent-signs-agreement-with-johnson-johnson-to-be-us-manufacturing-partner-for-lead-coronavirus,Benzinga Newsdesk,2020-04-29 00:00:00,JNJ,1,0,1,0,1,1,1,1,1,0.74695
706838,pfizer says coronavirus vaccine could be available by fall us clinical trials to begin next week,https://www.benzinga.com/news/20/04/15903348/pfizer-says-coronavirus-vaccine-could-be-available-by-fall-us-clinical-trials-to-begin-next-week,Neer Varshney,2020-04-28 00:00:00,JNJ,0,2,0,1,0,0,0,0,0,0.5
706839,ubs downgrades johnson johnson to neutral lowers price target to ,https://www.benzinga.com/news/20/04/15892825/ubs-downgrades-johnson-johnson-to-neutral-lowers-price-target-to-160,Vick Meyer,2020-04-28 00:00:00,JNJ,1,1,0,1,0,0,1,1,1,0.436
706840,jj says federal judge excludes certain plaintiff expert testimony from talc ovarian cancer trials deeming them not scientifically sound,https://www.benzinga.com/news/20/04/15892610/j-j-says-federal-judge-excludes-certain-plaintiff-expert-testimony-from-talc-ovarian-cancer-trials-d,Charles Gross,2020-04-28 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.3409
706841,us judge rules jj must defend federal talc lawsuits,https://www.benzinga.com/news/20/04/15887487/u-s-judge-rules-j-j-must-defend-federal-talc-lawsuits,Benzinga Newsdesk,2020-04-27 00:00:00,JNJ,1,2,1,1,0,1,1,1,1,0.55135
706842,halozyme announces janssen submits nda in japan for daratumumab subcutaneous formulation utilizing halozymes enhanze technology for patients with multiple myeloma,https://www.benzinga.com/news/20/04/15881965/halozyme-announces-janssen-submits-nda-in-japan-for-daratumumab-subcutaneous-formulation-utilizing-h,Charles Gross,2020-04-27 00:00:00,JNJ,1,0,1,1,1,1,1,1,1,0.5
706843,barrons picks and pans albertsons carnival harleydavidson and more,https://www.benzinga.com/media/20/04/15880461/barrons-picks-and-pans-albertsons-carnival-harley-davidson-and-more,Nelson Hem,2020-04-25 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.5
706844,jjs janssen pharma reports submission of applicats seeking approval of simponi aria for treatment of polyarticular juvenile idiopathic arthritis and juvenile psoriatic arthritis,https://www.benzinga.com/news/20/04/15874150/j-js-janssen-pharma-reports-submission-of-2-applicats-seeking-approval-of-simponi-aria-for-treatment,Benzinga Newsdesk,2020-04-24 00:00:00,JNJ,1,0,1,1,1,1,1,1,1,0.7383500000000001
706845,the daily biotech pulse fda approves sanofis meningococcal vaccine pluristem secures m in funding for covid treatment oric pharma prices ipo,https://www.benzinga.com/general/biotech/20/04/15873096/the-daily-biotech-pulse-fda-approves-sanofis-meningococcal-vaccine-pluristem-secures-54m-in-fundi,Shanthi Rexaline,2020-04-24 00:00:00,JNJ,1,0,1,1,1,0,1,0,1,0.8062
706846,update tracon says is seeking a licensing partner to develop commercialize trc in china,https://www.benzinga.com/news/20/04/15873565/update-tracon-says-is-seeking-a-licensing-partner-to-develop-commercialize-trc253-in-china,Benzinga Newsdesk,2020-04-24 00:00:00,JNJ,1,0,1,1,1,1,1,1,1,0.5
706847,tracon pharma reports retained global rights to trc following completion of phase trial,https://www.benzinga.com/news/20/04/15873562/tracon-pharma-reports-retained-global-rights-to-trc253-following-completion-of-phase-12-trial,Benzinga Newsdesk,2020-04-24 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.5129
706848,six coronavirus vaccines under clinical trials who says,https://www.benzinga.com/news/20/04/15872109/six-coronavirus-vaccines-under-clinical-trials-who-says,Neer Varshney,2020-04-24 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.5
706849,inovio ceo says its possible for coronavirus vaccine to be ready in to months,https://www.benzinga.com/news/20/04/15871866/inovio-ceo-says-its-possible-for-coronavirus-vaccine-to-be-ready-in-12-to-18-months,Neer Varshney,2020-04-23 00:00:00,JNJ,1,0,1,1,1,1,1,1,1,0.6806
706850,stocks that hit week highs on thursday,https://www.benzinga.com/news/20/04/15866414/stocks-that-hit-52-week-highs-on-thursday,Benzinga Insights,2020-04-23 00:00:00,JNJ,1,2,1,1,1,0,1,1,1,0.5
706851,the daily biotech pulse fda nod for immunomedics lillys solid q beat predictive oncology restructures debt,https://www.benzinga.com/general/biotech/20/04/15863794/the-daily-biotech-pulse-fda-nod-for-immunomedics-lillys-solid-q1-beat-predictive-oncology-restruc,Shanthi Rexaline,2020-04-23 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.38685
706852,why johnson johnsons stock is trading higher today,https://www.benzinga.com/news/20/04/15858077/why-johnson-johnsons-stock-is-trading-higher-today,Tanzeel Akhtar,2020-04-22 00:00:00,JNJ,1,0,1,1,1,1,1,1,1,0.5
706853,benzingas top upgrades downgrades for april ,https://www.benzinga.com/analyst-ratings/upgrades/20/04/15856498/benzingas-top-upgrades-downgrades-for-april-22-2020,Lisa Levin,2020-04-22 00:00:00,JNJ,1,1,0,1,0,0,1,1,1,0.60115
706854,johnson johnson shares are higher after bank of america upgraded the stock from neutral to buy,https://www.benzinga.com/wiim/20/04/15856265/johnson-johnson-shares-are-higher-after-bank-of-america-upgraded-the-stock-from-neutral-to-buy,Benzinga Newsdesk,2020-04-22 00:00:00,JNJ,1,0,1,1,1,1,1,1,1,0.648
706855,b of a securities upgrades johnson johnson to buy,https://www.benzinga.com/news/20/04/15854763/b-of-a-securities-upgrades-johnson-johnson-to-buy,Vick Meyer,2020-04-22 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.648
706856,oxford university coronavirus vaccine clinical trial to start thursday with m government funding,https://www.benzinga.com/news/20/04/15853720/oxford-university-coronavirus-vaccine-clinical-trial-to-start-thursday-with-24-6m-government-funding,Neer Varshney,2020-04-22 00:00:00,JNJ,1,2,1,1,1,0,1,1,1,0.5
706857,fda says expanded the indication of ibrutinib imbruvica,https://www.benzinga.com/general/biotech/20/04/15850779/fda-says-expanded-the-indication-of-ibrutinib-imbruvica,Benzinga Newsdesk,2020-04-21 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.5
706858,how the covid pandemic could end,https://www.benzinga.com/general/biotech/20/04/15744670/how-the-covid-19-pandemic-could-end,Tyree Gorges,2020-04-20 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.5
706859,the week ahead in biotech april eli lilly biogen earnings on tap sanofi awaits fda decision,https://www.benzinga.com/general/biotech/20/04/15833296/the-week-ahead-in-biotech-april-19-25-eli-lilly-biogen-earnings-on-tap-sanofi-awaits-fda-decision,Shanthi Rexaline,2020-04-19 00:00:00,JNJ,1,2,1,0,1,0,1,1,1,0.5386
706860,barrons picks and pans dropbox ford johnson johnson teladoc and more,https://www.benzinga.com/media/20/04/15836229/barrons-picks-and-pans-dropbox-ford-johnson-johnson-teladoc-and-more,Nelson Hem,2020-04-19 00:00:00,JNJ,1,2,1,1,0,1,1,1,1,0.5
706861,big earnings day as honeywell procter gamble schlumberger among those reporting,https://www.benzinga.com/news/earnings/20/04/15830154/big-earnings-day-as-honeywell-procter-gamble-schlumberger-among-those-reporting,JJ Kinahan,2020-04-17 00:00:00,JNJ,1,0,0,1,1,0,1,1,1,0.5
706862,moderna gets m federal funding for its coronavirus vaccine,https://www.benzinga.com/general/biotech/20/04/15825506/moderna-gets-483m-federal-funding-for-its-coronavirus-vaccine,Neer Varshney,2020-04-17 00:00:00,JNJ,1,0,1,1,1,1,1,1,1,0.5
706863,sp futures up after hours many other stocks moving higher with futures investors reacting favorably to white phase guidelines on reopening economy,https://www.benzinga.com/news/20/04/15824869/s-p-500-futures-up-3-2-after-hours-many-other-stocks-moving-higher-with-futures-investors-reacting-f,Benzinga Newsdesk,2020-04-16 00:00:00,JNJ,1,0,1,1,0,1,1,1,1,0.6909
706864,alibaba tesla among cramers stayathome stock ideas,https://www.benzinga.com/trading-ideas/long-ideas/20/04/15819591/alibaba-tesla-among-cramers-stay-at-home-stock-ideas,Craig Jones,2020-04-16 00:00:00,JNJ,1,2,1,1,0,1,1,1,1,0.5
706865,why johnson johnson inspires cramers bullishness on disney visa mastercard,https://www.benzinga.com/media/20/04/15814301/why-johnson-johnson-inspires-cramers-bullishness-on-disney-visa-mastercard,Jayson Derrick,2020-04-16 00:00:00,JNJ,1,2,1,1,0,1,1,1,1,0.7202
706866,every member of trumps great american economic revival industry groups,https://www.benzinga.com/news/20/04/15808727/every-member-of-trumps-great-american-economic-revival-industry-groups,Tanzeel Akhtar,2020-04-15 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.81245
706867,stifel maintains hold on johnson johnson raises price target to ,https://www.benzinga.com/news/20/04/15809036/stifel-maintains-hold-on-johnson-johnson-raises-price-target-to-155,Vick Meyer,2020-04-15 00:00:00,JNJ,1,2,1,1,0,1,1,1,1,0.5
706868,wells fargo maintains overweight on johnson johnson raises price target to ,https://www.benzinga.com/news/20/04/15808198/wells-fargo-maintains-overweight-on-johnson-johnson-raises-price-target-to-162,Vick Meyer,2020-04-15 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.436
706869, biggest price target changes for wednesday,https://www.benzinga.com/analyst-ratings/price-target/20/04/15807443/10-biggest-price-target-changes-for-wednesday,Lisa Levin,2020-04-15 00:00:00,JNJ,1,2,1,1,0,1,1,1,1,0.5
706870,credit suisse reiterates outperform on johnson johnson raises price target to ,https://www.benzinga.com/news/20/04/15807223/credit-suisse-reiterates-outperform-on-johnson-johnson-raises-price-target-to-161,Benzinga_Newsdesk,2020-04-15 00:00:00,JNJ,1,0,1,1,1,1,1,1,1,0.6909
706871,citigroup maintains buy on johnson johnson raises price target to ,https://www.benzinga.com/news/20/04/15807172/citigroup-maintains-buy-on-johnson-johnson-raises-price-target-to-165,Vick Meyer,2020-04-15 00:00:00,JNJ,1,0,1,1,1,1,1,1,1,0.5
706872,raymond james reiterates outperform on johnson johnson raises price target to ,https://www.benzinga.com/news/20/04/15806265/raymond-james-reiterates-outperform-on-johnson-johnson-raises-price-target-to-157,Benzinga_Newsdesk,2020-04-15 00:00:00,JNJ,1,1,1,1,1,1,1,1,1,0.5
706873,jj expects procedure volumes in areas such as oncology general surgery to rebound sooner,https://www.benzinga.com/news/20/04/15798088/j-j-expects-procedure-volumes-in-areas-such-as-oncology-general-surgery-to-rebound-sooner,Benzinga Newsdesk,2020-04-14 00:00:00,JNJ,1,0,1,1,1,1,1,1,1,0.625
706874,jpmorgan wells fargo earnings lower than expected but positive tone helps shares,https://www.benzinga.com/news/earnings/20/04/15797851/jp-morgan-wells-fargo-earnings-lower-than-expected-but-positive-tone-helps-shares,JJ Kinahan,2020-04-14 00:00:00,JNJ,0,1,0,1,1,1,0,0,0,0.9500500000000001
706875,jj ceo says china business starting to return to normalcy,https://www.benzinga.com/news/20/04/15797825/j-j-ceo-says-china-business-starting-to-return-to-normalcy,Benzinga Newsdesk,2020-04-14 00:00:00,JNJ,1,0,1,1,1,1,1,1,1,0.625
706876,tuesdays market minute earnings season begins again,https://www.benzinga.com/news/earnings/20/04/15797567/tuesdays-market-minute-earnings-season-begins-again,TD Ameritrade Network,2020-04-14 00:00:00,JNJ,1,2,1,1,1,0,1,1,1,0.5
706877,the daily biotech pulse amarin reports strong q vascepa sales beigene aces latestage lung cancer study glaxo sanofi strike covid vaccine partnership,https://www.benzinga.com/general/biotech/20/04/15795834/the-daily-biotech-pulse-amarin-reports-strong-q1-vascepa-sales-beigene-aces-late-stage-lung-cance,Shanthi Rexaline,2020-04-14 00:00:00,JNJ,1,0,1,1,1,1,1,1,1,0.30910000000000004
706878,johnson johnson shares are trading higher after the company reported betterthanexpected q eps and sales results,https://www.benzinga.com/wiim/20/04/15795970/johnson-johnson-shares-are-trading-higher-after-the-company-reported-better-than-expected-q1-eps-and,Benzinga Newsdesk,2020-04-14 00:00:00,JNJ,1,0,1,1,1,1,1,1,1,0.648
706879,mike khouw saw unusual options activity in johnson johnson ahead of earnings,https://www.benzinga.com/markets/options/20/04/15795264/mike-khouw-saw-unusual-options-activity-in-johnson-johnson-ahead-of-earnings,Craig Jones,2020-04-14 00:00:00,JNJ,1,1,0,1,0,0,1,1,1,0.5
706880,johnson johnson q earnings insights,https://www.benzinga.com/news/earnings/20/04/15795350/johnson-johnson-q1-earnings-insights,Benzinga Insights,2020-04-14 00:00:00,JNJ,1,2,1,1,0,1,1,1,1,0.5
706881,immunoprecise announces research license agreement with janssen,https://www.benzinga.com/general/biotech/20/04/15795757/immunoprecise-announces-research-license-agreement-with-janssen,Benzinga Newsdesk,2020-04-14 00:00:00,JNJ,1,0,1,1,1,1,1,1,1,0.74695
706882,genmab highlights q net sales of darzalex by johnson and johnson were m genmab will receive royalties on sales under exclusive worldwide license,https://www.benzinga.com/general/biotech/20/04/15795381/genmab-highlights-q1-net-sales-of-darzalex-by-johnson-and-johnson-were-937m-genmab-will-receive-r,Benzinga Newsdesk,2020-04-14 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.5640000000000001
706883,johnson johnson cuts fy adj eps guidance from to cuts operational sales guidance from bb to bb guidance includes impact of coronavirus and related investments,https://www.benzinga.com/news/20/04/15795365/johnson-johnson-cuts-fy20-adj-eps-guidance-from-8-95-9-10-to-7-50-7-90-cuts-operational-sales-guidan,Benzinga Newsdesk,2020-04-14 00:00:00,JNJ,1,1,0,1,0,0,1,0,0,0.23665000000000003
706884,johnson johnson q adj eps beats estimate sales b beat b estimate,https://www.benzinga.com/news/earnings/20/04/15795333/johnson-johnson-q1-adj-eps-2-300-beats-1-990-estimate-sales-20-691b-beat-19-440b-estimate,Benzinga Newsdesk,2020-04-14 00:00:00,JNJ,1,2,0,1,0,1,1,1,1,0.5
706885,johnson johnson raises quarterly dividend from to share,https://www.benzinga.com/news/20/04/15795298/johnson-johnson-raises-quarterly-dividend-from-0-95-to-1-91share,Benzinga Newsdesk,2020-04-14 00:00:00,JNJ,1,0,1,1,1,1,1,1,1,0.648
706886, stocks to watch for april ,https://www.benzinga.com/news/earnings/20/04/15794845/5-stocks-to-watch-for-april-14-2020,Lisa Levin,2020-04-14 00:00:00,JNJ,1,2,0,1,0,0,1,1,1,0.5
706887,earnings scheduled for april ,https://www.benzinga.com/news/earnings/20/04/15794781/earnings-scheduled-for-april-14-2020,Lisa Levin,2020-04-14 00:00:00,JNJ,1,2,0,1,1,0,1,1,1,0.5
706888,financials healthcare in eye of earnings hurricane ahead with bank ceos in spotlight,https://www.benzinga.com/news/earnings/20/04/15788949/financials-healthcare-in-eye-of-earnings-hurricane-ahead-with-bank-ceos-in-spotlight,JJ Kinahan,2020-04-13 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.5
706889,mondays market minute opec production cut to avoid a glut,https://www.benzinga.com/news/earnings/20/04/15788623/mondays-market-minute-opec-production-cut-to-avoid-a-glut,TD Ameritrade Network,2020-04-13 00:00:00,JNJ,1,1,0,1,0,0,0,0,0,0.24469999999999997
706890,the week ahead in biotech urogen fda decision amarin jj earnings and more covid updates,https://www.benzinga.com/general/biotech/20/04/15777861/the-week-ahead-in-biotech-urogen-fda-decision-amarin-j-j-earnings-and-more-covid-19-updates,Shanthi Rexaline,2020-04-12 00:00:00,JNJ,1,2,1,0,1,1,1,1,1,0.625
706891,ftc closes investigation of johnson johnsons proposed acquisition of tachosil from takeda pharmaceutical ftc says jnj abandoned proposed acquisition,https://www.benzinga.com/m-a/20/04/15782759/ftc-closes-investigation-of-johnson-johnsons-proposed-acquisition-of-tachosil-from-takeda-pharmaceut,Charles Gross,2020-04-10 00:00:00,JNJ,1,2,1,1,1,1,1,1,1,0.2706
